Job Title,Salary Estimate,lower,mid,upper,Job Description,Rating,Company Name,Location,city,state,Size,Founded,Type of ownership,Industry,Sector,Revenue,document_id,paragraph,d0,d1,d2,d3,d4,d5
Senior Data Scientist,Employer Provided Salary:$141K - $254K,141000.0,197500.0,254000.0,"POSITION: Senior Data Scientist

JOB Location: 208 S. Akard Street, Dallas, TX 75202 [and various unanticipated locations throughout the U.S.; may work from home]

Duties: AT&T Services, Inc. is looking for a Senior Data Scientist in Dallas, TX [and various unanticipated locations throughout the U.S.; may work from home] to be responsible for the automation of the resultant models designing and implementing processes and layouts for complex, large-scale data sets used for modeling, data mining, and research purposes, as well as the automation of the resultant models. Work closely with IT, Sales and Marketing organizations functional leads to formulate hypothetical insights and work through the lifecycle of delivering these insights to production. Design and build large and complex data sets, from spurious sources while thinking strategically about uses of data and how data use interacts with data design. Design and implement statistical data quality procedures around new data sources and the automation of the resultant models. Perform data studies and data discovery around new data sources or new uses for existing data sources. Implement software required for accessing and handling data appropriately. Implement and hand off data checking and updating procedures to teams. Perform statistical analyses with existing data sets in statistical packages. Visualize and report data findings creatively in a variety of visual formats that appropriately provides insights to the organization. Research and implement software and hardware related to mobile technology.",3.6,"AT&T
3.6","Dallas, TX",Dallas,TX,1000+ Employees,1876.0,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),5,POSITION: Senior Data Scientist,0.4686674837657905,0.5190995481480153,0.687884907626966,0.6427979935478876,0.5306287785975623,0.450171572233949
Senior Data Scientist,Employer Provided Salary:$141K - $254K,141000.0,197500.0,254000.0,"POSITION: Senior Data Scientist

JOB Location: 208 S. Akard Street, Dallas, TX 75202 [and various unanticipated locations throughout the U.S.; may work from home]

Duties: AT&T Services, Inc. is looking for a Senior Data Scientist in Dallas, TX [and various unanticipated locations throughout the U.S.; may work from home] to be responsible for the automation of the resultant models designing and implementing processes and layouts for complex, large-scale data sets used for modeling, data mining, and research purposes, as well as the automation of the resultant models. Work closely with IT, Sales and Marketing organizations functional leads to formulate hypothetical insights and work through the lifecycle of delivering these insights to production. Design and build large and complex data sets, from spurious sources while thinking strategically about uses of data and how data use interacts with data design. Design and implement statistical data quality procedures around new data sources and the automation of the resultant models. Perform data studies and data discovery around new data sources or new uses for existing data sources. Implement software required for accessing and handling data appropriately. Implement and hand off data checking and updating procedures to teams. Perform statistical analyses with existing data sets in statistical packages. Visualize and report data findings creatively in a variety of visual formats that appropriately provides insights to the organization. Research and implement software and hardware related to mobile technology.",3.6,"AT&T
3.6","Dallas, TX",Dallas,TX,1000+ Employees,1876.0,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),5,"JOB Location: 208 S. Akard Street, Dallas, TX 75202 [and various unanticipated locations throughout the U.S.; may work from home]",0.5319860551779149,0.5368602302645525,0.7681476099094988,0.6373008226371798,0.6340713574287464,0.659246062884624
Senior Data Scientist,Employer Provided Salary:$141K - $254K,141000.0,197500.0,254000.0,"POSITION: Senior Data Scientist

JOB Location: 208 S. Akard Street, Dallas, TX 75202 [and various unanticipated locations throughout the U.S.; may work from home]

Duties: AT&T Services, Inc. is looking for a Senior Data Scientist in Dallas, TX [and various unanticipated locations throughout the U.S.; may work from home] to be responsible for the automation of the resultant models designing and implementing processes and layouts for complex, large-scale data sets used for modeling, data mining, and research purposes, as well as the automation of the resultant models. Work closely with IT, Sales and Marketing organizations functional leads to formulate hypothetical insights and work through the lifecycle of delivering these insights to production. Design and build large and complex data sets, from spurious sources while thinking strategically about uses of data and how data use interacts with data design. Design and implement statistical data quality procedures around new data sources and the automation of the resultant models. Perform data studies and data discovery around new data sources or new uses for existing data sources. Implement software required for accessing and handling data appropriately. Implement and hand off data checking and updating procedures to teams. Perform statistical analyses with existing data sets in statistical packages. Visualize and report data findings creatively in a variety of visual formats that appropriately provides insights to the organization. Research and implement software and hardware related to mobile technology.",3.6,"AT&T
3.6","Dallas, TX",Dallas,TX,1000+ Employees,1876.0,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),5,"Duties: AT&T Services, Inc. is looking for a Senior Data Scientist in Dallas, TX [and various unanticipated locations throughout the U.S.; may work from home] to be responsible for the automation of the resultant models designing and implementing processes and layouts for complex, large-scale data sets used for modeling, data mining, and research purposes, as well as the automation of the resultant models. Work closely with IT, Sales and Marketing organizations functional leads to formulate hypothetical insights and work through the lifecycle of delivering these insights to production. Design and build large and complex data sets, from spurious sources while thinking strategically about uses of data and how data use interacts with data design. Design and implement statistical data quality procedures around new data sources and the automation of the resultant models. Perform data studies and data discovery around new data sources or new uses for existing data sources. Implement software required for accessing and handling data appropriately. Implement and hand off data checking and updating procedures to teams. Perform statistical analyses with existing data sets in statistical packages. Visualize and report data findings creatively in a variety of visual formats that appropriately provides insights to the organization. Research and implement software and hardware related to mobile technology.",0.4426015071147189,0.5408886331864369,0.4486751775228984,0.610647533394584,0.6548554261524782,0.6119119772215926
Data Scientist,Employer Provided Salary:$85K,85000.0,85000.0,85000.0,"Details
Department: Workforce Planning and Analytics
Schedule: Full Time, 8-hour day shift, Monday - Friday
Location: Remote

Benefits
Paid time off (PTO)
Various health insurance options & wellness plans
Retirement benefits including employer match plans
Long-term & short-term disability
Employee assistance programs (EAP)
Parental leave & adoption assistance
Tuition reimbursement
Ways to give back to your community",3.4,"Ascension
3.4",Remote,Remote,Remote,1000+ Employees,1902.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,,6,"Details
Department: Workforce Planning and Analytics
Schedule: Full Time, 8-hour day shift, Monday - Friday
Location: Remote",0.3171798507450573,0.3060617763372263,0.4233692418615316,0.4120392667630868,0.5261499030363135,0.5759853548298907
Data Scientist,Employer Provided Salary:$85K,85000.0,85000.0,85000.0,"Details
Department: Workforce Planning and Analytics
Schedule: Full Time, 8-hour day shift, Monday - Friday
Location: Remote

Benefits
Paid time off (PTO)
Various health insurance options & wellness plans
Retirement benefits including employer match plans
Long-term & short-term disability
Employee assistance programs (EAP)
Parental leave & adoption assistance
Tuition reimbursement
Ways to give back to your community",3.4,"Ascension
3.4",Remote,Remote,Remote,1000+ Employees,1902.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,,6,"Benefits
Paid time off (PTO)
Various health insurance options & wellness plans
Retirement benefits including employer match plans
Long-term & short-term disability
Employee assistance programs (EAP)
Parental leave & adoption assistance
Tuition reimbursement
Ways to give back to your community",0.4680124355222115,0.3953053116089819,0.6177913747869035,0.6201018209038518,0.6121620704765838,0.6108125806761567
Data Scientist,$102K - $138K (Glassdoor est.),102000.0,120000.0,138000.0,"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging ÃÂEEEEEÃÂEEEÃÂEEEEE where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world ÃÂEEEEEÃÂEEEÃÂEEEEE helping unlock financial access to enable the future of money movement.",4.1,"Visa
4.1","Washington, DC",Washington,DC,1000+ Employees,1958.0,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),7,Company Description,0.3446472818431683,0.2553099544959288,0.5478992147104299,0.4802355678964778,0.578484820651585,0.5340960794699113
Data Scientist,$102K - $138K (Glassdoor est.),102000.0,120000.0,138000.0,"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging ÃÂEEEEEÃÂEEEÃÂEEEEE where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world ÃÂEEEEEÃÂEEEÃÂEEEEE helping unlock financial access to enable the future of money movement.",4.1,"Visa
4.1","Washington, DC",Washington,DC,1000+ Employees,1958.0,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),7,"Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging ÃÂEEEEEÃÂEEEÃÂEEEEE where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world ÃÂEEEEEÃÂEEEÃÂEEEEE helping unlock financial access to enable the future of money movement.",0.2558536494242142,0.2974488038172977,0.4228821856436064,0.4564223772109278,0.4325045204664113,0.4073390608108174
Data Scientist- CalAIM,Employer Provided Salary:$51.00 - $68.72 Per Hour,106080.0,124508.8,142937.6,"Salary: $51.00 - $68.72 Per Hour
Community Programs is a program office within Health Services Administration, a division under the Los Angeles County Department of Health Services (DHS). Community ProgramÃÂEEEEEÃÂEEEÃÂEEEEEs mission is to improve the health and wellbeing of LA CountyÃÂEEEEEÃÂEEEÃÂEEEEEs people experiencing homelessness by providing housing and intensive care management services. In addition to other responsibilities this position may have a lead role in the tracking, reporting, quality assurance, and billing efforts for CalAIM, a Medi-Cal waiver program. They will be using their expertise to help lead a team of predictive analysts who will be providing data collection, analytic, and billing support for CalAIM services tracking and Medi-Cal billing while simultaneously building dashboards and providing regular descriptive analyses.",3.3,"Heluna Health
3.3","Los Angeles, CA",Los Angeles,CA,1000+ Employees,1968.0,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$25 to $100 million (USD),8,"Salary: $51.00 - $68.72 Per Hour
Community Programs is a program office within Health Services Administration, a division under the Los Angeles County Department of Health Services (DHS). Community ProgramÃÂEEEEEÃÂEEEÃÂEEEEEs mission is to improve the health and wellbeing of LA CountyÃÂEEEEEÃÂEEEÃÂEEEEEs people experiencing homelessness by providing housing and intensive care management services. In addition to other responsibilities this position may have a lead role in the tracking, reporting, quality assurance, and billing efforts for CalAIM, a Medi-Cal waiver program. They will be using their expertise to help lead a team of predictive analysts who will be providing data collection, analytic, and billing support for CalAIM services tracking and Medi-Cal billing while simultaneously building dashboards and providing regular descriptive analyses.",0.3558565886590643,0.2666220242281832,0.4927434026779688,0.4907078046220327,0.5611116861080373,0.5780712698361856
Data Scientist,$106K - $168K (Glassdoor est.),106000.0,137000.0,168000.0,"Job Title: Data Scientist - 100% Remote
Location: Remote (Open to candidates with H1B, GC, or USC status)
Experience Level: 9+ years
Job Type: Full-Time
Job Description:
Position Overview: As a Data Scientist at [Your Company Name], you will play a critical role in designing and implementing advanced data-driven solutions. You will work with a team of talented professionals in a 100% remote setup, ensuring that our clients' data is leveraged to its fullest potential to drive business success.",,Pashtek,"Arizona City, AZ",Arizona City,AZ,1 to 200 Employees,,Company - Private,,,,9,"Job Title: Data Scientist - 100% Remote
Location: Remote (Open to candidates with H1B, GC, or USC status)
Experience Level: 9+ years
Job Type: Full-Time
Job Description:
Position Overview: As a Data Scientist at [Your Company Name], you will play a critical role in designing and implementing advanced data-driven solutions. You will work with a team of talented professionals in a 100% remote setup, ensuring that our clients' data is leveraged to its fullest potential to drive business success.",0.3926079589519644,0.3053589658675262,0.5588211938118828,0.4862160966382225,0.5639408320344704,0.558877745768503
Data Scientist,$88K - $133K (Glassdoor est.),88000.0,110500.0,133000.0,"Spalding Consulting, Inc. is seeking a Data Scientist at MCAS Cherry Point at Havelock, NC. Spalding Consulting, Inc. is a professional services company delivering cutting-edge solutions to the Department of Defense since 2001. Our expert-level solutions include software development, information technology, program management, financial management and business intelligence services. Spalding Consulting offers competitive compensation, career development, flexible work schedules and excellent benefits.

Position Type: Full-Time

Come join our team as we support Naval Aviation at Marine Corps Air Station Cherry Point. If you seek a dynamic work environment that challenges you to learn and grow in data analysis, visualization, AI and ML, we have the opportunity for you.






Must be eligible to obtain a Secret clearance. Requirements to obtain a clearance include US Citizenship, security investigation, etc.


BS or BA degree in Engineering, Computer Science, Information Systems, Business, Mathematics, Statistics or Relevant Technical Discipline. Preferred. Additional years of experience may replace degree requirements.

Spalding Consulting, Inc. is committed to providing equal employment opportunities to all applicants and employees. We will not discriminate against any employee or applicant on the basis of race, color, ethnic origin, national origin, creed, religion, political belief, sex (including pregnancy), sexual orientation, gender identity, marital status, age, military status, physical or mental disability, or any other legally protected basis, in accordance with applicable federal, state or local laws. Spalding Consulting, Inc. is an Affirmative Action/Equal Opportunity Employer and encourages minorities, women, disabled, and veterans to apply for job openings within our company.",4.0,"Spalding Consulting, Inc.
4.0","Havelock, NC",Havelock,NC,200 to 1000 Employees,2001.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD),10,"Spalding Consulting, Inc. is seeking a Data Scientist at MCAS Cherry Point at Havelock, NC. Spalding Consulting, Inc. is a professional services company delivering cutting-edge solutions to the Department of Defense since 2001. Our expert-level solutions include software development, information technology, program management, financial management and business intelligence services. Spalding Consulting offers competitive compensation, career development, flexible work schedules and excellent benefits.",0.5399727581635188,0.6211972000559899,0.4208146772654118,0.639363852166181,0.7142594427162279,0.8013041902439865
